policy_number,customer_id,first_name,last_name,ssn,email,phone,address,city,state,zip,policy_type,effective_date,expiration_date,annual_premium,payment_frequency,renewal_flag,policy_status,marital_status,agent_id,agency_name,agency_region
PN000001,CIN1001,Vihaan,Khan,848-72-8226, vihaan.khan@EXAMPLE.COM ,,906 Park Street,  Pune  ,  Maharashtra  ,56A012,RENTERS,2024/09/07,2025/09/07,"270,067.00",ANNUAL,y,Lapsed,Separated,A002,Metro Mutual Partners,NE
PN000002,CIN1002,Myra,Gupta,921869045, myra.gupta@EXAMPLE.COM ,+91 97671 65045,373 Sector 62,Bengaluru,Karnataka, ,AUTO,2024/03/08,2024-09-04,"225,934.00",ANNUAL,Y,Cancelled,Separated,A201,Empire Coverage,NY
PN000003,CIN1003,Navya,Nair,543-35-5823,navya.nairexample.com,,686 Lodhi Rd,  Noida  ,UP,0211O,HOME,2024-07-15,2025/07/15,"228,461.00",Monthly,y,Lapsed,Single,A004,Downtown Assurance,NE
PN000004,CIN1004,Sara,Gupta,865623397,sara.gupta@example.com,+91 73020 10028,991 Sector 62,  Hyderabad  ,  Telangana  ,500001,HOME,2025/01/15,2025/10/12,"188,102.00",QUARTERLY,n,Cancelled,Married,A101,Sun Valley Insurance,Mid-Atl
PN000005,CIN1005,Muhammad,Reddy,238-85-6013,muhammad.reddyexample.com,+91 82320 11852,  982 JM Road  ,  Jaipur  ,Rajasthan,  302001  ,HOME,2024-12-10,2025-12-10,"172,640.00",ANNUAL,n,Lapsed,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000006,CIN1006,Sai,Iyer,,sai.iyer@example.com,+91 84805 93997,  445 JM Road  ,Jaipur,Rajasthan, ,AUTO,2023/12/11,2024-09-06,"84,890.00",Monthly,n,Cancelled,Separated,A001,North Shore Agency,NE
PN000007,CIN1007,Diya,Gupta,, diya.gupta@EXAMPLE.COM ,+91 96743 22394,179 Lodhi Rd,Kolkata,West Bengal,0211O,RENTERS,2024/04/20,2025-01-15,"96,457.00",ANNUAL,y,Cancelled,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000008,CIN1008,Reyansh,Verma,235-22-5320,reyansh.verma@example.com,+91 94874 56694,570 JM Road,  Jaipur  ,Rajasthan,56A012,AUTO,2025/01/18,2025/07/17,,Monthly,n,Active,Single,A001,North Shore Agency,NE
PN000009,CIN1009,Muhammad,Sharma,, ,N/A,97 JM Road,Noida,Uttar Pradesh,  0211O  ,HOME,2024-08-13,2025/05/10,"31,015.00",ANNUAL,y,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000010,CIN1010,Vihaan,Gupta,, vihaan.gupta@EXAMPLE.COM ,,600 MG Road,Chennai,Tamil Nadu,600-001,RENTERS,2024-07-09,2025/04/05,"115,915.00",ANNUAL,n,Lapsed,Married,A002,Metro Mutual Partners,NE
PN000011,CIN1011,Aarav,Sharma,, aarav.sharma@EXAMPLE.COM ,01186-758356,428 Lodhi Rd,Noida,UP,201-301,HOME,2023/11/19,2024/05/17,"189,507.00",Monthly,y,Active,Divorced,A003,Bay State Brokers,NE
PN000012,CIN1012,Pari,Reddy,,pari.reddyexample.com,N/A,  919 JM Road  ,Pune,Maharashtra,411001,RENTERS,2023-11-16,2024-05-14,"161,604.00",Monthly,N,Cancelled,Single,A001,North Shore Agency,NE
PN000013,CIN1013,Arjun,Mukherjee,402-79-5678,arjun.mukherjee@example.com,N/A,318 MG Road,Lucknow,UP,     ,RENTERS,2025-01-25,2026/01/25,"16,273.00",ANNUAL,Y,Active,Widowed,A201,Empire Coverage,NY
PN000014,CIN1014,Aarav,Khan,994197245, aarav.khan@EXAMPLE.COM ,,  310 Park Street  ,Mumbai,Maharashtra,0211O,HOME,2024-06-28,2024-12-25,"44,079.00",Monthly,y,Lapsed,Married,A002,Metro Mutual Partners,NE
PN000015,CIN1015,Ananya,Mukherjee,805-54-6736,ananya.mukherjeeexample.com,N/A,  331 Sector 62  ,  Pune  ,  Maharashtra  ,  0211O  ,RENTERS,2024/02/17,2024-11-13,"141,401.00",QUARTERLY,Y,Lapsed,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000016,CIN1016,Pari,Mukherjee,629367953, pari.mukherjee@EXAMPLE.COM ,N/A,563 Lodhi Rd,  Chennai  ,  Tamil Nadu  , ,HOME,2024/11/21,2025/08/18,,ANNUAL,Y,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000017,CIN1017,Aarav,Patil,,aarav.patilexample.com,,638 Lodhi Rd,Hyderabad,Telangana,  500001  ,HOME,2023/03/22,2024-03-21,"24,119.00",ANNUAL,n,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000018,CIN1018,Aadhya,Khan,956694256, aadhya.khan@EXAMPLE.COM ,+91 86786 62419,262 Sector 62,Jaipur,Rajasthan, ,HOME,2023-12-01,2024-08-27,"253,819.00",QUARTERLY,y,Lapsed,Divorced,A201,Empire Coverage,NY
PN000019,CIN1019,Ananya,Khan,723371473,ananya.khanexample.com,09323-997040,576 Park Street,Kolkata,  West Bengal  ,  0211O  ,RENTERS,2025/02/16,2025/11/13,"171,592.00",QUARTERLY,N,Active,Widowed,A101,Sun Valley Insurance,Mid-Atl
PN000020,CIN1020,Arjun,Iyer,653-98-6843,arjun.iyer@example.com,,822 MG Road,Kolkata,  West Bengal  , ,RENTERS,2023-10-15,2024-07-11,"49,028.00",ANNUAL,y,Active,Widowed,A001,North Shore Agency,NE
PN000021,CIN1021,Navya,Sharma,, ,,  362 JM Road  ,  Bengaluru  ,Karnataka,0211O,HOME,2024-12-22,2025/12/22,"191,216.00",QUARTERLY,n,Cancelled,Widowed,A004,Downtown Assurance,NE
PN000022,CIN1022,Aditya,Patil,,aditya.patilexample.com,N/A,775 MG Road,New Delhi,Delhi,56A012,HOME,2023/12/29,2024-12-28,"73,124.00",ANNUAL,y,Lapsed,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000023,CIN1023,Myra,Sharma,638-77-2610,myra.sharma@example.com,,774 Lodhi Rd,Pune,Maharashtra, ,RENTERS,2024-11-29,2025/05/28,"251,740.00",Monthly,N,Active,Single,A004,Downtown Assurance,NE
PN000024,CIN1024,Aditya,Iyer,414704965, ,N/A,19 MG Road,Pune,Maharashtra,  0211O  ,AUTO,2025/02/05,2025/08/04,"250,524.00",ANNUAL,n,Active,Separated,A201,Empire Coverage,NY
PN000025,CIN1025,Vivaan,Nair,, vivaan.nair@EXAMPLE.COM ,02244-681603,302 Park Street,Hyderabad,Telangana,0211O,AUTO,2024-06-17,2025/03/14,"128,891.00",ANNUAL,y,Lapsed,Single,A003,Bay State Brokers,NE
PN000026,CIN1026,Sai,Sharma,, ,+91 71540 48183,  921 Sector 62  ,  New Delhi  ,Delhi,110003,HOME,2024/07/16,2025/07/16,"38,187.00",ANNUAL,N,Lapsed,Single,A101,Sun Valley Insurance,Mid-Atl
PN000027,CIN1027,Aadhya,Patil,,aadhya.patilexample.com,07550-392477,476 MG Road,  Pune  ,  Maharashtra  ,411-001,RENTERS,2024-02-30,2024-03-04,"271,761.00",Monthly,N,Cancelled,Divorced,A002,Metro Mutual Partners,NE
PN000028,CIN1028,Navya,Nair,, navya.nair@EXAMPLE.COM ,N/A,2 Sector 62,Mumbai,Maharashtra,  400-001  ,RENTERS,2023-04-02,2024/04/01,"6,297.00",QUARTERLY,N,Cancelled,Separated,A101,Sun Valley Insurance,Mid-Atl
PN000029,CIN1029,Vihaan,Patil,, vihaan.patil@EXAMPLE.COM ,+91 74933 59956,  622 JM Road  ,Hyderabad,Telangana,500001,HOME,2024-11-09,2025/08/06,"230,846.00",Monthly,y,Lapsed,Widowed,A004,Downtown Assurance,NE
PN000030,CIN1030,Navya,Gupta,878-61-4683,navya.gupta@example.com,N/A,105 JM Road,Lucknow,Uttar Pradesh,56A012,RENTERS,2024/07/15,2025-01-11,"199,000.00",Monthly,N,Active,Widowed,A003,Bay State Brokers,NE
PN000031,CIN1031,Vivaan,Mehta,855149418, vivaan.mehta@EXAMPLE.COM ,N/A,174 Sector 62,New Delhi,Delhi,56A012,HOME,2024/11/17,2025/11/17,,QUARTERLY,n,Lapsed,Widowed,A003,Bay State Brokers,NE
PN000032,CIN1032,Muhammad,Nair,933-30-8134,muhammad.nair@example.com,+91 73325 25325,365 MG Road,  Jaipur  ,Rajasthan,302001,HOME,2023-04-20,2023-10-17,"163,646.00",ANNUAL,y,Cancelled,Married,A004,Downtown Assurance,NE
PN000033,CIN1033,Ishita,Verma,252-66-8639,ishita.verma@example.com,+91 70674 99882,896 JM Road,  Mumbai  ,Maharashtra,400001,HOME,2024-05-12,2025-02-06,,QUARTERLY,N,Lapsed,Single,A003,Bay State Brokers,NE
PN000034,CIN1034,Sai,Sharma,691895328, ,06091-345300,265 Sector 62,  Kolkata  ,West Bengal,56A012,HOME,2023/04/15,2024-04-14,"217,545.00",ANNUAL,n,Active,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000035,CIN1035,Krishna,Gupta,, ,+91 90062 70524,894 JM Road,Noida,Uttar Pradesh,0211O,RENTERS,2023/09/10,2024-03-08,"198,671.00",Monthly,y,Lapsed,Separated,A001,North Shore Agency,NE
PN000036,CIN1036,Aadhya,Mukherjee,, aadhya.mukherjee@EXAMPLE.COM ,+91 70073 37032,  618 MG Road  ,  Hyderabad  ,Telangana, ,AUTO,2024/12/27,2025-09-23,"282,111.00",Monthly,N,Active,Separated,A002,Metro Mutual Partners,NE
PN000037,CIN1037,Vihaan,Verma,874-46-7700,vihaan.verma@example.com,03450-380476,604 Sector 62,Mumbai,  Maharashtra  , ,HOME,2023/02/07,2023/08/06,"232,058.00",ANNUAL,y,Active,Married,A004,Downtown Assurance,NE
PN000038,CIN1038,Reyansh,Gupta,500191164,reyansh.gupta@example.com,N/A,  211 Lodhi Rd  ,  Hyderabad  ,Telangana,     ,AUTO,2023/06/13,2024-06-12,"244,060.00",ANNUAL,N,Active,Married,A101,Sun Valley Insurance,Mid-Atl
PN000039,CIN1039,Ayaan,Verma,166-91-3216, ayaan.verma@EXAMPLE.COM ,+91 97770 39665,603 Sector 62,  Chennai  ,Tamil Nadu,  600001  ,AUTO,2024-01-07,2024-07-05,"136,291.00",ANNUAL,n,Lapsed,Divorced,A003,Bay State Brokers,NE
PN000040,CIN1040,Arjun,Sharma,741502536, ,06477-666872,  775 Sector 62  ,Mumbai,Maharashtra,0211O,HOME,2023/04/03,2023-09-30,"225,693.00",Monthly,N,Cancelled,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000041,CIN1041,Sara,Khan,583-28-8750, sara.khan@EXAMPLE.COM ,07925-336514,  652 MG Road  ,  Chennai  ,Tamil Nadu,  600001  ,RENTERS,2024-03-19,2024/12/14,"277,373.00",QUARTERLY,N,Active,Widowed,A003,Bay State Brokers,NE
PN000042,CIN1042,Sai,Gupta,856869023, sai.gupta@EXAMPLE.COM ,+91 93402 41296,433 Sector 62,Chennai,  Tamil Nadu  ,  0211O  ,RENTERS,2024-07-23,2025/04/19,"119,025.00",Monthly,n,Active,Divorced,A201,Empire Coverage,NY
PN000043,CIN1043,Krishna,Verma,, krishna.verma@EXAMPLE.COM ,09545-235797,854 Sector 62,Bengaluru,Karnataka,  560-001  ,RENTERS,2023/12/11,2024/12/10,"-142,460.00",ANNUAL,y,Lapsed,Divorced,A004,Downtown Assurance,NE
PN000044,CIN1044,Sara,Verma,513-81-1124,sara.verma@example.com,N/A,273 Lodhi Rd,  Pune  ,Maharashtra,411001,AUTO,2024/02/12,2024/08/10,"233,419.00",QUARTERLY,N,Lapsed,Married,A002,Metro Mutual Partners,NE
PN000045,CIN1045,Vivaan,Khan,811-22-7889, vivaan.khan@EXAMPLE.COM ,+91 83130 41233,  205 MG Road  ,  Hyderabad  ,Telangana,  500001  ,HOME,2023-11-16,2024/11/15,,ANNUAL,y,Active,Separated,A002,Metro Mutual Partners,NE
PN000046,CIN1046,Pari,Verma,241-63-8215, ,,101 Lodhi Rd,  Chennai  ,Tamil Nadu,  600-001  ,RENTERS,2023-12-26,2024-06-23,"36,211.00",ANNUAL,n,Active,Married,A004,Downtown Assurance,NE
PN000047,CIN1047,Vihaan,Nair,123957596, vihaan.nair@EXAMPLE.COM ,+91 80290 44050,377 JM Road,Chennai,  Tamil Nadu  ,  56A012  ,HOME,2023/05/03,2023/10/30,"218,329.00",Monthly,n,Active,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000048,CIN1048,Aditya,Iyer,,aditya.iyerexample.com,N/A,  467 Park Street  ,  Noida  ,Uttar Pradesh,201-301,RENTERS,2024/01/21,2024/10/17,"118,069.00",ANNUAL,y,Active,Separated,A001,North Shore Agency,NE
PN000049,CIN1049,Vihaan,Nair,867903346,vihaan.nairexample.com,,12 Lodhi Rd,  Pune  ,Maharashtra, ,AUTO,2023/05/06,2024-01-31,,QUARTERLY,N,Active,Widowed,A004,Downtown Assurance,NE
PN000050,CIN1050,Vihaan,Iyer,715524352,vihaan.iyerexample.com,,542 Lodhi Rd,Mumbai,  Maharashtra  ,400-001,RENTERS,2024-02-16,2024-08-14,"190,548.00",ANNUAL,n,Active,Separated,A001,North Shore Agency,NE
PN000051,CIN1051,Navya,Verma,658122726, navya.verma@EXAMPLE.COM ,+91 77134 24196,  781 Lodhi Rd  ,Mumbai,  Maharashtra  ,400-001,AUTO,2023-08-20,2024-02-16,"57,820.00",Monthly,Y,Active,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000052,CIN1052,Arjun,Mehta,930-37-9341, arjun.mehta@EXAMPLE.COM ,02865-854881,  828 JM Road  ,Noida,Uttar Pradesh, ,RENTERS,2023-08-05,2024/05/01,"198,726.00",QUARTERLY,n,Lapsed,Separated,A001,North Shore Agency,NE
PN000053,CIN1053,Krishna,Sharma,,krishna.sharmaexample.com,N/A,932 Park Street,Lucknow,UP,56A012,RENTERS,2023-10-21,2024/07/17,"245,658.00",Monthly,Y,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000054,CIN1054,Aarav,Gupta,621693731, ,,  374 Sector 62  ,  Jaipur  ,Rajasthan,56A012,AUTO,2023-01-12,2024-01-12,,Monthly,N,Active,Separated,A004,Downtown Assurance,NE
PN000055,CIN1055,Aarav,Reddy,, ,,516 JM Road,  Lucknow  ,UP, ,AUTO,2024/01/26,2024/10/22,"-4,314.00",QUARTERLY,n,Lapsed,Single,A001,North Shore Agency,NE
PN000056,CIN1056,Sai,Nair,367494052,sai.nairexample.com,N/A,  877 MG Road  ,Kolkata,West Bengal,56A012,HOME,2024/05/20,2024/11/16,"143,090.00",ANNUAL,n,Cancelled,Separated,A004,Downtown Assurance,NE
PN000057,CIN1057,Pari,Mehta,757877457,pari.mehtaexample.com,+91 91020 55997,294 MG Road,  Kolkata  ,  West Bengal  ,0211O,RENTERS,2024-12-16,2025/09/12,"219,273.00",ANNUAL,n,Active,Married,A101,Sun Valley Insurance,Mid-Atl
PN000058,CIN1058,Reyansh,Verma,753-89-7127, ,N/A,762 Sector 62,Kolkata,West Bengal,0211O,AUTO,2023/04/03,2023/12/29,"156,369.00",ANNUAL,n,Cancelled,Divorced,A003,Bay State Brokers,NE
PN000059,CIN1059,Aarav,Verma,469-91-9735, ,+91 90691 45182,384 JM Road,Mumbai,Maharashtra,  400001  ,AUTO,2025/02/12,2025/11/09,"34,344.00",ANNUAL,y,Cancelled,Single,A101,Sun Valley Insurance,Mid-Atl
PN000060,CIN1060,Reyansh,Reddy,, reyansh.reddy@EXAMPLE.COM ,N/A,  624 Lodhi Rd  ,Pune,Maharashtra,411-001,RENTERS,2024-10-20,2025/10/20,,ANNUAL,y,Lapsed,Widowed,A201,Empire Coverage,NY
PN000061,CIN1061,Vivaan,Mehta,177-48-3931, ,N/A,564 JM Road,  Kolkata  ,West Bengal,  56A012  ,HOME,2024/09/30,2025-09-30,"159,912.00",ANNUAL,y,Cancelled,Divorced,A101,Sun Valley Insurance,Mid-Atl
PN000062,CIN1062,Sara,Sharma,, ,N/A,375 JM Road,  Chennai  ,Tamil Nadu,  56A012  ,RENTERS,2023/12/29,2024/09/24,"151,076.00",QUARTERLY,Y,Cancelled,Divorced,A201,Empire Coverage,NY
PN000063,CIN1063,Reyansh,Patil,, ,+91 91398 84320,  627 MG Road  ,Mumbai,Maharashtra,400001,AUTO,2023-10-07,2024-04-04,"121,660.00",ANNUAL,n,Cancelled,Divorced,A004,Downtown Assurance,NE
PN000064,CIN1064,Muhammad,Verma,846676732, ,N/A,841 JM Road,Noida,  Uttar Pradesh  ,201-301,AUTO,2024/12/03,2025/08/30,"98,047.00",Monthly,N,Cancelled,Divorced,A101,Sun Valley Insurance,Mid-Atl
